@RELATION PPI

@ATTRIBUTE GO_sim_bp_avg numeric
@ATTRIBUTE GO_sim_bp_sum numeric
@ATTRIBUTE GO_sim_bp_max numeric
@ATTRIBUTE GO_sim_cc_avg numeric
@ATTRIBUTE GO_sim_cc_sum numeric
@ATTRIBUTE GO_sim_cc_max numeric
@ATTRIBUTE PCC_1_devtissues numeric
@ATTRIBUTE PCC_2_heterog numeric
@ATTRIBUTE domain_match numeric
@ATTRIBUTE domain_score numeric
@ATTRIBUTE orthology_score numeric
@ATTRIBUTE class {1,-1}

@DATA
0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,-0.123411843830893,0.356529937141115,3,1,0,1
0,0,0,0,0,0,0.330041180535212,0.219029039598764,0,0,3,1
0.0277777777777778,60,4,0.0277777777777778,48,4,0,-0.193982128801889,0,0,1,1
0,0,0,0,0,0,1,1,3,1,1,1
0,0,0,0,0,0,0.345837461745504,-0.0449389736307974,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,-0.433389025231162,-0.321708224432486,0,0,1,1
0.0221606648199446,297,8,0.0138504155124654,245,5,1,1,1,1,3,1
0,0,0,0,0,0,0,0,1,0.5,1,1
0.0181818181818182,180,3,0.0303030303030303,10,5,-0.158099814881242,-0.193479987234801,3,0.428571428571429,1,1
0,0,0,0,0,0,0.117419954252758,0.274861812435012,0,0,4,1
0.2,20,5,0.2,5,5,1,1,2,1,1,1
0,0,0,0.0595238095238095,30,5,0.774569388951479,0.710043665494291,4,1,2,1
0,0,0,0,0,0,0.373987614887042,0.307394170273911,2,1,1,1
0,0,0,0,0,0,-0.271446079735667,-0.0160533371804166,2,1,1,1
0.0177514792899408,130,3,0.0177514792899408,9,3,0.247175925319542,0.501430235839482,0,0,1,1
0.027972027972028,90,4,0.027972027972028,10,4,0.0437612292079626,0.522760803591112,0,0,1,1
0,0,0,0,0,0,0.0662132876549596,-0.103370634414931,2,1,2,1
0,0,0,0,0,0,0.177803362862114,0.252725322939559,1,1,1,1
0,0,0,0,0,0,0.225624941316647,-0.0957926332032278,2,1,1,1
